ID	n	popN	family	zea	symp_allo	RI_ACCESSION	GEOCTY	LOCALITY
HILO231	231	31	L1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO232	232	24	C1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO233	233	372	A2	maize	sympatric	RIMMA0372	Mexico	San Pedro
HILO234	234	361	J1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO235	235	30	L1	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO236	236	360	H1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO237	237	360	G1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO238	238	368	H2	maize	sympatric	RIMMA0368	Mexico	Opopeo
HILO239	239	35	N1	mexicana	sympatric	RIMME0035	Mexico	Xochimilco
HILO240	240	373	F2	maize	sympatric	RIMMA0373	Mexico	Tenango del Aire
HILO241	241	365	L2	maize	sympatric	RIMMA0365	Mexico	Tlapala
HILO242	242	19	B1	mexicana	sympatric	RIMME0019	Mexico	Penjamillo
HILO243	243	368	A1	maize	sympatric	RIMMA0368	Mexico	Opopeo
HILO244	244	370	C1	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO245	245	31	K1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO246	246	373	D1	maize	sympatric	RIMMA0373	Mexico	Tenango del Aire
HILO247	247	361	E1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO248	248	374	B1	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO249	249	23	G1	mexicana	sympatric	RIMME0023	Mexico	Tlapala
HILO250	250	366	C1	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
HILO251	251	360	A2	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO252	252	19	E1	mexicana	sympatric	RIMME0019	Mexico	Penjamillo
HILO253	253	374	I1	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO254	254	365	H2	maize	sympatric	RIMMA0365	Mexico	Tlapala
HILO255	255	369	G1	maize	sympatric	RIMMA0369	Mexico	Amatlan
HILO256	256	26	N1	mexicana	sympatric	RIMME0026	Mexico	Opopeo
