ID	popN	family	ind	RI_ACCESSION	zea	symp_allo	GEOCTY	LOCALITY	ELEVATION	LAT	LON	reads_q30	est_coverage
HILO202	20	M	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	6402224	0.449787466137365
HILO203	33	O	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	3938817	0.276721107853893
HILO206	371	G	xi	RIMMA0371	maize	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	12468257	0.875955874580375
HILO207	21	H	xi	RIMME0021	mexicana	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	25723041	1.80716910760035
HILO208	20	F	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	3355011	0.235705888540137
HILO210	22	E	xi	RIMME0022	mexicana	allopatric	Mexico	Amecameca	2467	19.139	-98.7733	4850576	0.340776625176926
HILO211	29	H	xi	RIMME0029	mexicana	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	1512943	0.106291625906914
HILO213	363	F	xi	RIMMA0363	maize	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	11839820	0.831805109805983
HILO215	34	F	xi	RIMME0034	mexicana	sympatric	Mexico	Santa Clara	2173	19.4184	-101.642	11449813	0.804405215596434
HILO217	20	D	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	9595891	0.674158151639235
HILO218	371	C	xi	RIMMA0371	maize	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	29686488	2.08562059309973
HILO219	363	A	xi	RIMMA0363	maize	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	16914273	1.18831018630802
HILO300	23	F	i	RIMME0023	mexicana	sympatric	Mexico	Tlapala	2272	19.2351	-98.8368	7645609	0.537141327636621
HILO301	372	C	i	RIMMA0372	maize	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	20384902	1.43213880333436
HILO302	34	B	i	RIMME0034	mexicana	sympatric	Mexico	Santa Clara	2173	19.4184	-101.642	22318658	1.56799459522292
HILO303	26	G	i	RIMME0026	mexicana	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	7744101	0.544060871081961
HILO304	362	E	i	RIMMA0362	maize	sympatric	Mexico	Santa Clara	2173	19.4184	-101.642	26522235	1.86331638457976
HILO305	374	C	i	RIMMA0374	maize	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	18148519	1.2750219884771
HILO306	26	F	i	RIMME0026	mexicana	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	16789042	1.17951209767946
HILO307	360	G	i	RIMMA0360	maize	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	25428373	1.78646724320577
HILO308	23	G	i	RIMME0023	mexicana	sympatric	Mexico	Tlapala	2272	19.2351	-98.8368	20329933	1.42827696294482
HILO309	21	J	i	RIMME0021	mexicana	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	12004497	0.843374472352671
HILO310	18	O	i	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	21262288	1.49377944973542
HILO311	22	H	i	RIMME0022	mexicana	allopatric	Mexico	Amecameca	2467	19.139	-98.7733	6202363	0.435746255962639
HILO312	29	S	i	RIMME0029	mexicana	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	11892133	0.835480353239522
HILO313	31	F	i	RIMME0031	mexicana	sympatric	Mexico	Tenango del Aire	2609	19.1197	-99.5896	13339844	0.937189112943836
HILO314	360	F	i	RIMMA0360	maize	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	12635842	0.887729538312327
HILO315	24	C	i	RIMME0024	mexicana	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	11636513	0.817521801321621
HILO316	24	O	i	RIMME0024	mexicana	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	18967936	1.33259002985458
HILO317	363	D	i	RIMMA0363	maize	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	19949539	1.40155242887761
HILO318	371	A	i	RIMMA0371	maize	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	26556417	1.86571783682003
HILO319	19	K	i	RIMME0019	mexicana	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	19280054	1.35451784187051
HILO320	35	C	i	RIMME0035	mexicana	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	13097979	0.920196916873015
HILO321	24	M	i	RIMME0024	mexicana	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	18311382	1.28646390867507
HILO322	28	F	i	RIMME0028	mexicana	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	13164350	0.924859803381673
