sample_name	organism	isolate	ecotype	dev_stage	geo_loc_name	tissue	growth_protocol	lat_lon	isolation_source
HILO323	Zea mays subsp. mexicana	family_I_seed_i	RIMME0023	seedling	Mexico:Tlapala	leaf	greenhouse	19.2351 N 98.8368 W	Elevation: 2272 m
HILO324	Zea mays subsp. mexicana	family_T_seed_i	RIMME0029	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO325	Zea mays subsp. mexicana	family_L_seed_i	RIMME0018	seedling	Mexico:Nabogame	leaf	greenhouse	26.2465 N 106.915 W	Elevation: 2020 m
HILO326	Zea mays subsp. mexicana	family_C_seed_i	RIMME0028	seedling	Mexico:Puruandiro	leaf	greenhouse	20.1076 N 101.49 W	Elevation: 1915 m
HILO327	Zea mays subsp. mexicana	family_Q_seed_i	RIMME0020	seedling	Mexico:Malinalco	leaf	greenhouse	18.9531 N 99.503 W	Elevation: 1887 m
HILO328	Zea mays subsp. mexicana	family_C_seed_i	RIMME0031	seedling	Mexico:Tenango del Aire	leaf	greenhouse	19.1197 N 99.5896 W	Elevation: 2609 m
HILO329	Zea mays subsp. mays	family_A_seed_i	RIMMA0360	seedling	Mexico:Nabogame	leaf	greenhouse	26.2465 N 106.915 W	Elevation: 2020 m
HILO330	Zea mays subsp. mays	family_E_seed_i	RIMMA0367	seedling	Mexico:Cocotilan	leaf	greenhouse	19.2244 N 98.8427 W	Elevation: 2269 m
HILO331	Zea mays subsp. mays	family_A_seed_i	RIMMA0368	seedling	Mexico:Opopeo	leaf	greenhouse	19.4181 N 101.613 W	Elevation: 2213 m
HILO332	Zea mays subsp. mexicana	family_M_seed_i	RIMME0025	seedling	Mexico:Cocotilan	leaf	greenhouse	19.2244 N 98.8427 W	Elevation: 2269 m
HILO333	Zea mays subsp. mays	family_F_seed_i	RIMMA0362	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO334	Zea mays subsp. mexicana	family_L_seed_i	RIMME0019	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO335	Zea mays subsp. mexicana	family_I_seed_i	RIMME0031	seedling	Mexico:Tenango del Aire	leaf	greenhouse	19.1197 N 99.5896 W	Elevation: 2609 m
HILO336	Zea mays subsp. mays	family_A_seed_i	RIMMA0361	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO337	Zea mays subsp. mexicana	family_N_seed_i	RIMME0020	seedling	Mexico:Malinalco	leaf	greenhouse	18.9531 N 99.503 W	Elevation: 1887 m
HILO338	Zea mays subsp. mays	family_B_seed_i	RIMMA0366	seedling	Mexico:Jicaltepec	leaf	greenhouse	19.3764 N 99.6303 W	Elevation: 2587 m
HILO339	Zea mays subsp. mays	family_M_seed_i	RIMMA0360	seedling	Mexico:Nabogame	leaf	greenhouse	26.2465 N 106.915 W	Elevation: 2020 m
HILO340	Zea mays subsp. mays	family_G_seed_i	RIMMA0362	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO341	Zea mays subsp. mays	family_K_seed_i	RIMMA0366	seedling	Mexico:Jicaltepec	leaf	greenhouse	19.3764 N 99.6303 W	Elevation: 2587 m
HILO342	Zea mays subsp. mays	family_B_seed_i	RIMMA0365	seedling	Mexico:Tlapala	leaf	greenhouse	19.2351 N 98.8368 W	Elevation: 2272 m
HILO343	Zea mays subsp. mays	family_I_seed_i	RIMMA0360	seedling	Mexico:Nabogame	leaf	greenhouse	26.2465 N 106.915 W	Elevation: 2020 m
HILO344	Zea mays subsp. mexicana	family_H_seed_i	RIMME0025	seedling	Mexico:Cocotilan	leaf	greenhouse	19.2244 N 98.8427 W	Elevation: 2269 m
HILO345	Zea mays subsp. mexicana	family_M_seed_i	RIMME0034	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO346	Zea mays subsp. mays	family_J_seed_i	RIMMA0361	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO347	Zea mays subsp. mays	family_F_seed_i	RIMMA0361	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO348	Zea mays subsp. mexicana	family_B_seed_i	RIMME0020	seedling	Mexico:Malinalco	leaf	greenhouse	18.9531 N 99.503 W	Elevation: 1887 m
